rank,title,author,length
1,In Search of Lost Time ,Marcel Proust,468
2,Ulysses,James Joyce,736
3,Don Quixote,Miguel de Cervantes,0
4,The Great Gatsby ,F. Scott Fitzgerald,180
5,One Hundred Years of Solitude ,Gabriel Garcia Marquez,417
6,Moby Dick,Herman Melville,544
7,War and Peace,Leo Tolstoy,1296
8,Lolita ,Vladimir Nabokov,0
9,Hamlet,William Shakespeare,0
10,The Catcher in the Rye,J. D. Salinger,0
11,The Odyssey,Homer,0
12,The Brothers Karamazov ,Fyodor Dostoyevsky,0
13,Crime and Punishment ,Fyodor Dostoyevsky,0
14,Madame Bovary,Gustave Flaubert,0
15,The Divine Comedy ,Dante Alighieri,0
16,The Adventures of Huckleberry Finn,Mark Twain,0
17,Alice's Adventures in Wonderland ,Lewis Carroll,0
18,Pride and Prejudice,Jane Austen,0
19,Wuthering Heights,Emily BrontÃ«,0
20,To the Lighthouse ,Virginia Woolf,0
21,Catch-22 ,Joseph Heller,0
22,The Sound and the Fury,William Faulkner,0
23,Nineteen Eighty Four,George Orwell,0
24,Anna Karenina,Leo Tolstoy,864
25,The Iliad,Homer,704
26,Heart of Darkness,Joseph Conrad,72
27,The Grapes of Wrath ,John Steinbeck,464
28,Invisible Man ,Ralph Ellison,581
29,To Kill a Mockingbird ,Harper Lee,384
30,Middlemarch,George Eliot,0
31,Great Expectations,Charles Dickens,0
32,Gulliver's Travels,Jonathan Swift,0
33,"Absalom, Absalom!",William Faulkner,0
34,Beloved,Toni Morrison,0
35,The Stranger ,Albert Camus,0
36,Jane Eyre,Charlotte Bronte,0
37,One Thousand and One Nights,India/Iran/Iraq/Egypt,0
38,The Trial,Franz Kafka,0
39,The Red and the Black,Stendhal,0
40,Mrs. Dalloway ,Virginia Woolf,0
41,The Stories of Anton Chekhov,Anton Chekhov,0
42,The Sun Also Rises ,Ernest Hemingway,0
43,David Copperfield,Charles Dickens,0
44,A Portrait of the Artist as a Young Man ,James Joyce,0
45,Midnight's Children ,Salman Rushdie,0
46,Collected Fiction,Jorge Luis Borges,0
47,Tristram Shandy,Laurence Sterne,0
48,Leaves of Grass,Walt Whitman,0
49,The Aeneid,Virgil,0
50,Candide,Voltaire,0
